|id|generator_name|country|ic_kw|technology|subsidy|accreditation|commissioned|rlf|alf|latest_data|latest_mwh_p_a|latest_rocs_p_a
8089|R00510NGNI|60 Gortnagarn Rd|NI|20|Photovoltaic|RO|2012-05-08|2012-04-24|9.3%|9.1%|2014-03|16.0|
8090|G05839PVEN|Aldi Woodgate|England|50|Photovoltaic|FiT|2014-11-26|2014-11-17|||2015-08|33.0|
8091|G05883PVEN|Ballingham Hall Farm|England|100|Photovoltaic|FiT|2014-12-03|2014-09-26|||2015-04|33.0|
8092|G05869PVEN|Aldi Slaithwaite|England|50|Photovoltaic|FiT|2014-12-15|2014-11-27|||2015-08|33.0|
8093|G07597PVEN|ES15051 - JANHILL|England|40|Photovoltaic|FiT|2016-05-27|2015-07-24|||2017-04|33.0|
8094|G07595PVEN|ES15009 - BOWDON|England|50|Photovoltaic|FiT|2016-05-26|2015-03-11|||2017-04|33.0|
8095|G05543PVEN|Peter Hope Structures|England|40|Photovoltaic|FiT|2014-06-02|2013-06-20|5.4%|4.5%|2016-10|16.0|
8096|R00508NZNI|Wind Energy Booth|NI|10|On-shore wind|RO|2016-06-17|2016-06-06|||2017-03|16.0|65.0
8097|R00001RWEN|Hales Prior PV roof - A,C, M|England|44|Photovoltaic|FiT|2004-04-01|2004-01-01|4.7%|3.1%|2012-04|12.0|
8098|R01520RWEN|Drake Primary School|England|12|Photovoltaic|RO|2009-02-24|2008-02-01|15.9%|20.5%|2010-03|22.0|43.0
8099|R00177RXEN|Old Manor House ORC|England|45|Dedicated biomass|RO|2017-03-29|2017-03-27|||2017-07|16.0|29.0
8100|R00034NZNI|Eugene Donnelly Jacobs - Y, agent is NIE|NI|20|On-shore wind|RO|2006-07-01|2006-05-01|||2007-03|16.0|16.0
8101|R01734NGNI|Noel Bingham Solar Hub|NI|20|Photovoltaic|RO|2013-07-02|2013-05-01|||2014-03|16.0|
8102|G05799PVEN|Aldi South Benfleet|England|50|Photovoltaic|FiT|2014-11-26|2014-10-24|||2015-08|32.0|
8103|R22031NGNI|MCS-00874971-J|NI|12|Photovoltaic|RO|2016-12-20|2015-10-13|16.4%|28.6%|2018-03|30.0|
8104|G07065PVEN|PACIFICA|England|100|Photovoltaic|FiT|2015-12-22|2015-12-17|3.3%|3.3%|2017-02|29.0|
8105|G05914PVEN|Aldi Wolverhampton|England|50|Photovoltaic|FiT|2014-12-23|2014-12-15|||2015-08|32.0|
8106|G06409PVEN|Aldi Middleton|England|50|Photovoltaic|FiT|2015-06-16|2015-06-04|||2015-08|16.0|
8107|G05978PVEN|Aldi Peterborough 1 Whittlesey|England|50|Photovoltaic|FiT|2015-02-04|2015-01-19|||2015-08|32.0|
8108|G01454HYEN|Hope Hydro|England|10|Hydro|FiT|2013-12-13|2013-12-10|19.4%|25.1%|2018-04|22.0|
